,division_area,ratio
0,Івано-Франківська,75.58744272215672
1,Вінницька,80.60582253675574
2,Волинська,78.3719499218552
3,Дніпропетровська,72.67391694572194
4,Донецька,31.390582294789994
5,Житомирська,76.96117488156239
6,Закарпатська,72.32916453060236
7,Запорізька,70.72526700725639
8,Кіровоградська,69.11079738562091
9,Київська,80.40784730408531
10,Луганська,21.13380281040427
11,Львівська,78.4773767318889
12,Київ,63.68352324501231
13,Миколаївська,67.75928658295103
14,Одеська,62.4277669646454
15,Полтавська,77.16428224346792
16,Рівненська,77.22365198031788
17,Сумська,78.43996622449016
18,Тернопільська,75.85934589741446
19,Харківська,73.7092368356875
20,Херсонська,71.29288879167817
21,Хмельницька,78.27848045643118
22,Черкаська,74.45424025474388
23,Чернівецька,72.77217075971019
24,Чернігівська,75.90762667168589
